text,category,priority
Git repository access permission request,Account Access,Low
Thermal printer receipt paper needs refill,Printer Issues,Low
Core switch firmware upgrade scheduled maintenance,Network Issues,High
Adobe Creative Suite license assignment,Software Issues,Low
Broken headphone jack on company laptop,Hardware Issues,Low
Bulk email campaign blocked by spam filter,Email Problems,Medium
Incident response for suspected data exfiltration,Security Issues,Critical
Mobile printing setup for iOS devices,Printer Issues,Medium
Packet loss on VoIP calls affecting call center,Network Issues,High
Virtual machine snapshot restore needed,Software Issues,High
GPU failure on engineering workstation,Hardware Issues,High
Email migration to new Exchange server,Email Problems,High
Compliance audit finding for password policy,Security Issues,High
Fax machine not receiving incoming faxes,Printer Issues,Medium
MPLS circuit outage affecting all branches,Network Issues,Critical
Power BI dashboard not refreshing data,Software Issues,Medium
Water damage to laptop from spill incident,Hardware Issues,High
Shared calendar not visible to team members,Email Problems,Medium
Zero day vulnerability patch deployment urgent,Security Issues,Critical
Envelope printer alignment needs adjustment,Printer Issues,Low
